"~id","~start_node_id","~end_node_id","~relationship_type"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1157429502280728657","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:81","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:2","BALANCES"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159676904047902744","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:4","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159676904047902745","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:25","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:4","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159676904047902746","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:26","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:6","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159676904047902747","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:27","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:4","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159676904047902749","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:29","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:3","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159676904047902751","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:31","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:23","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159676904047902752","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:32","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:6","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159678003559530520","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:37","MANIFESTS_AS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1159679103071158296","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:63","TREATED_BY"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1161928703861587992","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:10","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1161928703861587993","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:25","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:5","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1161928703861587994","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:26","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:12","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1161928703861587995","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:27","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:11","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1161928703861587997","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:29","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:4","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1161928703861588000","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:32","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:14","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1164180503675273240","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:11","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1164180503675273241","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:25","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:10","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1164180503675273242","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:26","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:11","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1164180503675273243","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:27","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:20","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1164180503675273245","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:29","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:17","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1164180503675273248","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:32","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:15","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1166432303488958488","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:23","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1166432303488958489","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:25","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:11","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1166432303488958490","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:26","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:13","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1166432303488958493","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:29","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:18","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1166432303488958496","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:32","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:13","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1168684103302643737","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:25","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:12","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1168684103302643738","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:26","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:20","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1168684103302643741","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:29","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:16","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1168684103302643744","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:32","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:20","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1170935903116328985","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:25","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:19","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1170935903116328989","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:29","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:20","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:1173187702930014233","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:25","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:20","AFFECTS"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:6917536724222476374","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:86","CAUSED_BY"
"5:def61c06-cb45-4038-b1ff-8cad54c64d8c:6917536724222476375","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:24","4:def61c06-cb45-4038-b1ff-8cad54c64d8c:87","CAUSED_BY"
